business_name,address,inspection_date,years_alive
OPTIONS LABORATORY SCHOOL,1060 E 47TH ST ,09/01/2011,4
LEVY RESTAURANTS AT WRIGLEY FIELD,1060 W ADDISON ST ,04/29/2016,1
CAPTAIN MORGAN'S,1060 W ADDISON ST ,05/14/2015,1
FAMILY PRIDE,10601 S PULASKI RD ,06/04/2012,3
GUSI'S PIZZA,10606 S TORRENCE AVE ,06/07/2012,1
BLUE PLATE CATERING LTD.,1061 W VAN BUREN ST ,09/30/2015,1
HOT WOK CHINESE KITCHEN,10611 S EWING AVE ,07/18/2017,1
HOT WOK,10611 S EWING AVE ,05/13/2014,1
TATSU,1062 W TAYLOR ST ,02/13/2015,2
TATSU,1062 W TAYLOR ST ,03/03/2011,4
1ST FRUITS ACADEMY INC,10622-10624 S HALSTED ST ,04/15/2014,0
1ST FRUITS ACADEMY INC,10622-10624 S HALSTED ST ,01/20/2011,2
WHIZ KIDS NURSERY CENTER INC,10623-10627 S HALSTED ST ,07/21/2011,4
BUSY BUMBLE BEE DAYCARE,10623-10627 S HALSTED ST ,08/20/2010,1
PHO 777 RESTAURANT,1063-1065 W ARGYLE ST ,03/21/2012,0
DISCOUNT DOLLAR PLUS,10634 S HALSTED ST ,10/22/2012,4
7 DAY FOOD MART INC,10634 S HALSTED ST ,10/11/2012,0
EL JALAPENO,10641-43 S PULASKI RD ,05/18/2012,2
BIG PAPPAS MR. GYROS PIZZERIA,10641-43 S PULASKI RD ,03/30/2011,1
DEL'S DELI,10643 S HALSTED ST ,10/27/2010,3
QUIZNOS SUB #13210,10648 S WESTERN AVE ,04/16/2010,2
BEACON THERAPEUTIC DIAGNOSTIC AND TREATMENT CENTER,10650 S LONGWOOD DR ,04/19/2017,1
ROSELAND FOOD MART,10658 S MICHIGAN AVE ,08/06/2015,0
ROSELAND PANTRY,10658 S MICHIGAN AVE ,12/10/2012,1
BILHAH KITCHEN # 2,10658 S STATE ST ,10/25/2012,0
TACO MEX INC,10658 S TORRENCE AVE ,03/17/2010,3
"MICHAELS FAST FOOD & GROCERY, INC",10659 S WENTWORTH AVE ,05/27/2014,2
B & L FAST FOOD & GROCERY,10659 S WENTWORTH AVE ,11/25/2013,1
GALLERY FAST FOOD,10659 S WENTWORTH AVE ,02/20/2013,0
GORA RETAURANT AND FOOD MARKET,10659 S WENTWORTH AVE ,02/20/2013,0
AMANDA'S FAST FOOD & GROCERY,10659 S WENTWORTH AVE ,02/20/2013,0
FAT TONYS,10659 S WENTWORTH AVE ,02/20/2013,0
"FOOD EXPRESS,INC.",10659 S WENTWORTH AVE ,02/20/2013,0
AMANDA'S GROCERY & FAST FOOD,10659 S WENTWORTH AVE ,02/20/2013,0
AMANDA'S GROCERY & FAST FOOD,10659 S WENTWORTH AVE ,02/14/2013,0
MOTHER'S BROTHER GRILL & SUBS,107 N KEDZIE AVE ,03/30/2015,0
SMOTHERS,107 N KEDZIE AVE ,06/28/2013,0
WELLS STREET POPCORN LLC,107 W DIVISION ST ,12/05/2011,2
SAVE A LOT MARKET #24931,10700 S HALSTED ST ,10/11/2012,3
