,block#,#business_with_liquor,#crimes,#arrests
1090,4148,3,0,0
1091,415,22,0,0
1092,4150,1,0,0
1093,4151,1,0,0
1094,4155,5,0,0
1095,4162,3,0,0
1096,42,34,0,0
1097,421,16,0,0
1098,4210,2,0,0
1099,4211,30,0,0
1100,4212,57,0,0
1101,4214,33,0,0
1102,4215,2,0,0
1103,4218,15,0,0
1104,4219,17,0,0
1105,422,6,0,0
1106,4220,1,0,0
1107,4221,40,0,0
1108,4222,101,0,0
1109,4224,15,0,0
1110,4226,1,0,0
1111,4227,16,0,0
1112,4229,2,0,0
1113,4230,1,0,0
1114,4231,15,0,0
1115,4232,12,0,0
1116,4233,2,0,0
1117,4235,1,0,0
1118,4238,11,0,0
1119,4239,4,0,0
1120,4240,1,0,0
1121,4241,53,0,0
1122,4242,12,0,0
1123,4244,56,0,0
1124,4246,78,0,0
1125,4248,37,0,0
1126,4249,50,0,0
1127,4250,7,0,0
1128,4251,5,0,0
1129,4253,38,0,0
1130,4254,4,0,0
1131,4255,74,0,0
1132,4256,3,0,0
1133,4257,3,0,0
1134,426,19,0,0
1135,4261,25,0,0
1136,4263,3,0,0
1137,4264,3,0,0
1138,4265,5,0,0
1139,4266,1,0,0
1140,4267,11,0,0
1141,4268,58,0,0
1142,4269,8,0,0
1143,429,246,0,0
1144,43,5,0,0
1145,4310,7,0,0
1146,4311,15,0,0
1147,4312,1,0,0
1148,4316,1,0,0
1149,4317,12,0,0
1150,4318,1,0,0
1151,4319,1,0,0
1152,432,27,0,0
1153,4320,6,0,0
1154,4321,7,0,0
1155,4322,3,0,0
1156,4323,1,0,0
1157,4324,24,0,0
1158,4327,9,0,0
1159,4328,1,0,0
1160,4329,1,0,0
1161,433,15,0,0
1162,4331,1,0,0
1163,4332,38,0,0
1164,4333,7,0,0
1165,4334,3,0,0
1166,4335,5,0,0
1167,4336,1,0,0
1168,4337,2,0,0
1169,4338,17,0,0
1170,4339,16,0,0
1171,434,2,0,0
1172,4340,1,0,0
1173,4341,8,0,0
1174,4343,4,0,0
1175,4344,8,0,0
1176,4345,7,0,0
1177,4346,1,0,0
1178,4347,5,0,0
1179,4348,7,0,0
1180,4349,12,0,0
1181,435,8,0,0
1182,4350,13,0,0
1183,4351,9,0,0
1184,4352,2,0,0
1185,4353,8,0,0
1186,4355,2,0,0
1187,4356,37,0,0
1188,4357,2,0,0
1189,4358,5,0,0
1190,436,17,0,0
1191,4366,2,0,0
1192,4367,3,0,0
1193,437,7,0,0
1194,438,3,0,0
1195,439,4,0,0
1196,441,2,0,0
1197,4410,6,0,0
1198,4411,8,0,0
1199,4413,6,0,0
1200,4414,6,0,0
1201,4415,2,0,0
1202,4416,4,0,0
1203,4417,6,0,0
1204,4418,4,0,0
1205,442,1,0,0
1206,4420,40,0,0
1207,4421,18,0,0
1208,4422,1,0,0
1209,4423,4,0,0
1210,4424,1,0,0
1211,4425,16,0,0
1212,4426,5,0,0
1213,4427,4,0,0
1214,4428,21,0,0
1215,4429,17,0,0
1216,443,3,0,0
1217,4430,5,0,0
1218,4431,26,0,0
1219,4432,3,0,0
1220,4433,19,0,0
1221,4436,42,0,0
1222,4437,6,0,0
1223,4438,29,0,0
1224,4439,21,0,0
1225,4440,4,0,0
1226,4441,17,0,0
1227,4442,48,0,0
1228,4443,9,0,0
1229,4444,2,0,0
1230,4445,35,0,0
1231,4447,7,0,0
1232,4448,1,0,0
1233,4449,1,0,0
1234,445,3,0,0
1235,4450,17,0,0
1236,446,14,0,0
1237,447,5,0,0
1238,448,9,0,0
1239,449,16,0,0
1240,451,2,0,0
1241,4510,2,0,0
1242,4511,4,0,0
1243,4512,1,0,0
1244,4513,1,0,0
1245,4516,5,0,0
1246,4518,2,0,0
1247,452,1,0,0
1248,4520,6,0,0
1249,4521,4,0,0
1250,4523,2,0,0
1251,4525,2,0,0
1252,4526,6,0,0
1253,4527,9,0,0
1254,4528,2,0,0
1255,4529,23,0,0
1256,453,6,0,0
1257,4530,1,0,0
1258,4531,21,0,0
1259,4532,11,0,0
1260,4533,1,0,0
1261,4534,4,0,0
1262,4535,1,0,0
1263,4537,1,0,0
1264,4539,8,0,0
1265,454,1,0,0
1266,4540,3,0,0
1267,4541,1,0,0
1268,4542,2,0,0
1269,4543,2,0,0
1270,4544,2,0,0
